idx,lat,lon
562,51.5147216,-0.082524
563,51.5119021,-0.0836598
564,51.5182011,-0.1052901
565,51.5159816,-0.1113076
566,51.5185909,-0.1024634
567,51.518467,-0.1026188
568,51.5168788,-0.0860658
569,51.5146194,-0.0821118
570,51.5157838,-0.1049558
571,51.5164156,-0.0793896
572,51.5119617,-0.0992464
573,51.5143318,-0.0767502
574,51.5111706,-0.0801045
575,51.5182958,-0.0985779
576,51.5126692,-0.0765917
577,51.5126147,-0.0765925
578,51.5174513,-0.1078782
579,51.5160031,-0.0985976
580,51.5151343,-0.0977312
581,51.5123852,-0.0938985
582,51.51234,-0.0937143
583,51.5092232,-0.0817367
584,51.5201767,-0.0973806
585,51.5199604,-0.0973326
586,51.5200668,-0.0973541
587,51.5160757,-0.1038065
588,51.5176974,-0.1077589
589,51.5194268,-0.0995581
590,51.5156566,-0.106151
591,51.520906,-0.0929651
592,51.5210193,-0.0923584
593,51.521014,-0.0924226
594,51.5137104,-0.1118241
595,51.5086881,-0.0805359
596,51.5125941,-0.090208
597,51.515425,-0.0799415
598,51.5095088,-0.080121
599,51.5184995,-0.1054826
600,51.5128944,-0.0964569
601,51.5129056,-0.0965207
602,51.5109311,-0.0955212
603,51.511078,-0.0978872
604,51.5110005,-0.0977447
605,51.5110742,-0.0977263
606,51.5108147,-0.0929686
607,51.5102359,-0.0897578
608,51.51776,-0.1051079
609,51.5097398,-0.0876567
610,51.5126543,-0.0950326
611,51.5162498,-0.1019666
612,51.5135658,-0.0906718
613,51.5180253,-0.1069738
614,51.5119325,-0.0851106
615,51.5115966,-0.0758715
616,51.5126429,-0.0760908
617,51.5121415,-0.0759898
618,51.5123994,-0.0802844
619,51.5158991,-0.0819224
620,51.5181285,-0.1036707
621,51.5128046,-0.1033353
622,51.510451,-0.087878
623,51.5121022,-0.103298
624,51.5121791,-0.1020399
625,51.5121119,-0.1020712
626,51.5121064,-0.1023767
627,51.5116194,-0.0995687
628,51.5118182,-0.0992547
629,51.5091895,-0.0885513
630,51.5112792,-0.0876323
631,51.5143327,-0.0744323
632,51.5201512,-0.0973751
633,51.5175197,-0.1061669
634,51.5187053,-0.0980959
635,51.5182753,-0.0975404
636,51.512443,-0.0746893
637,51.5196524,-0.0888978
638,51.5177232,-0.105199
639,51.5178226,-0.1076068
640,51.517797,-0.1076376
641,51.5108549,-0.0866697
642,51.5109139,-0.0866313
643,51.5123798,-0.0935728
644,51.5124346,-0.0937321
645,51.5123317,-0.0937626
646,51.5164315,-0.0835727
647,51.5161102,-0.0817677
648,51.5144922,-0.0741124
649,51.5091577,-0.0812275
650,51.5118785,-0.1041871
651,51.5118135,-0.1042063
652,51.5107284,-0.0922028
653,51.5108347,-0.0930841
654,51.5108731,-0.0929565
655,51.5177515,-0.1052068
656,51.5179403,-0.1052164
657,51.515168,-0.106202
658,51.5185346,-0.0880583
659,51.5183297,-0.0881803
660,51.509182,-0.0885009
661,51.5090679,-0.0885956
662,51.5108353,-0.097172
663,51.5092824,-0.0907616
664,51.5141077,-0.091956
665,51.5191015,-0.0877495
